电视台,#genre#
华视,rtmp://218.32.29.20/sat/tv111
纬来日本,rtmp://218.32.29.20/sat/tv761
纬来体育,rtmp://218.32.29.20/sat/tv721
纬来育乐,rtmp://218.32.29.20/sat/tv701
东森超视,rtmp://218.32.29.20/sat/tv331
TVBS欢东台,rtmp://218.32.29.20/sat/tv421
TVBS新闻台,rtmp://218.32.29.20/sat/tv551
东森财经新闻,rtmp://218.32.29.20/sat/tv571
台視,rtmp://218.32.29.20/sat/tv071
中視,rtmp://218.32.29.20/sat/tv091
番薯,http://61.216.67.119:1935/TWHG/E1/chunklist_w7058102.m3u8
ELEVEN2,rtmp://218.32.29.20/sat/md021
ELTA體育3,rtmp://218.32.29.20/sat/md041
ELTA體育1,rtmp://218.32.29.20/sat/md051

天才冲冲冲,http://www.hualong.cf:35455/youtube/wQrIfiFioBc?quality=720

天才冲冲冲2,https://api.hualonghualong.tk/api/youtube/wQrIfiFioBc

中天新闻11,https://darlin8855.vercel.app/live/youtube/oIgbl7t0S_w?quality=720
中天新闻12,https://darlin8855.vercel.app/live/youtube/oIgbl7t0S_w?quality=480
TVBS新闻,https://darlin8855.vercel.app/live/youtube/2mCSYvcfhtc?quality=720
TVBS 56,https://darlin8855.vercel.app/live/youtube/YvdcZ_jpLXE?quality=720
东森新闻2,https://darlin8855.vercel.app/live/youtube/S5WOGu2HSes?quality=720
东森财经新闻2,https://darlin8855.vercel.app/live/youtube/LbS-xQ67fos?quality=720

2211,rtmp://live-rtmp-czbtv.sobeylive.com/czbtv2019/czzhpd?sign=0e885dd3b0e8383c76c9787fb577a1ca&t=64e62c71&Authorization=93aa1d02589236a62e10f7ff9102242e_16928

潮州综合,http://live-czbtv-gb.sobeylive.com/czbtv2019/czzhpd.flv

331,rtmp://live-rtmp-czbtv.sobeylive.com/czbtv2019/czzhpd?sign=081f8e3b9dce90511887776bd7c9d23a&t=64e4a0e5&Authorization=d0e987da2e70232bd9660650f76c159a_16927
332,rtmp://live-rtmp-czbtv.sobeylive.com/czbtv2019/czzhpd?sign=2ba3daaf52719d0a7a6f58a787b727b0&t=64e4a431
44,rtmp://rtmp-stjy.sobeylive.com/stjy2020/zhpd?sign=fa4dca910bfd560fd8f55df7f511f93d&t=66c5991c
55,rtmp://rtmp-stjy.sobeylive.com/stjy2020/ggpd?sign=bd69dae297e6f78a0123bc5d484a8228&t=66c5991c




78,https://webadmin.boydgaming.net/ml.php?6752X17XTX0X0XTEST
88,http://www.runehead.com/clans/ml.php?clan=agonyrs

PL8,https://api.hualonghualong.tk/api/gudou.php?id=1350_4500

bestv1,https://api.hualonghualong.tk/api/bestv.php?id=cctv15hd8m/8000000
bestv2,http://php.hualong.cf:5678/bestv.php?id=cctv15hd8m/8000000
LIVE-gudou,https://live.hualonghualong.tk/api/gudou.php?id=1350_4500
LIVE-gudou-rp,https://live.hualonghualong.tk/api/gudou.php?phone=freeuser&ptoken=A5ZjU2OThiNjAxMzExMTBkN&pserialnumber=b60131110d72d53&cid=1332&id=raopingtaiHD_4500
LIVE-gudou-RP,https://live.goodiptv.club/api/gudou.php?id=raopingtaiHD_4500
LIVE-ITOUCH,https://live.goodiptv.club/api/itouch.php?id=2450
LIVE-ITOUCH2,https://live.goodiptv.club/api/itouch.php?id=1183
LIVE-ZT,https://live.goodiptv.club/api/youtube/oIgbl7t0S_w?quality=720
yu-gudou-rp,https://php.hualonghualong.tk/api/gudou.php?id=raopingtaiHD_4500
yu-gudou-rp2,http://php.hualong.cf:5678/gudou.php?phone=freeuser&ptoken=A5ZjU2OThiNjAxMzExMTBkN&pserialnumber=b60131110d72d53&cid=1332&id=raopingtaiHD_4500
yu-gudou-ca,http://php.hualong.cf:5678/gudou.php?phone=freeuser&ptoken=A5ZjU2OThiNjAxMzExMTBkN&pserialnumber=b60131110d72d53&cid=1332&id=chaoanzongheHD_4500
yu-gudou-cz,http://php.hualong.cf:5678/gudou.php?phone=freeuser&ptoken=A5ZjU2OThiNjAxMzExMTBkN&pserialnumber=b60131110d72d53&cid=1332&id=3131_4500

yu-gudou-p,http://php.hualong.cf:5678/gudou-playseek.php?id=CCTV13HD_1500
yu-gudou-p2,http://www.hualong.cf:5678/gudou-playseek.php?id=CCTV13HD_1500
yu-gudou-p3,http://www.hualong.cf:5678/gudou-playseek.php?phone=freeuser&ptoken=A5ZjU2OThiNjAxMzExMTBkN&pserialnumber=b60131110d72d53&cid=1332&id=raopingtaiHD_4500
yu-gudou113,http://php.hualong.cf:5678/gudou.php?phone=freeuser&ptoken=A5ZjU2OThiNjAxMzExMTBkN&pserialnumber=b60131110d72d53&cid=1332&id=CCTV13HD_1500


yu-gudou,http://php.hualong.cf:5678/gudou.php?phone=freeuser&ptoken=A5ZjU2OThiNjAxMzExMTBkN&pserialnumber=b60131110d72d53&cid=1332&id=CCTV13HD_1500
yu-gudou2,http://api.hualonghualong.tk/api/gudou.php?phone=freeuser&ptoken=A5ZjU2OThiNjAxMzExMTBkN&pserialnumber=b60131110d72d53&cid=1332&id=CCTV3HD_1500
yu-gudou3,http://www.hualong.cf:5678/gudou.php?phone=13389247903&ptoken=dcCK3zfyKEFSl1f4l9RIlQ%3D%3D&pserialnumber=22702bd68a70cb12&cid=38&id=1613
yu-gudou4,http://www.hualong.cf:5678/gudou.php?phone=18602906577&ptoken=El8Ddz3fhANH3OBzkos2qw%3D%3D&pserialnumber=22702bd68a70cb12&cid=1346&id=CCTV-15HD_7500
